normalized_form	reading	senses
あら	アラ	oh!; ah!; oh no
彼	カレ	that; that thing|that person|then; that time|that place (over there)|down there (i.e. one's genitals)
あんな	アンナ	that sort of; that kind of; like that; such; so
あの	アノ	say; well; um; er
彼処	アスコ	there; over there; that place; yonder; you-know-where|genitals; private parts; nether regions|that far; that much; that point
否々	イナイナ	no!; no no!; no, not at all
いざこざ	イザコザ	trouble; quarrel; difficulties; complication; tangle
うずうず	ウズウズ	itching to do something; impatient; sorely tempted; eager
いそいそ	イソイソ	cheerfully; joyously; joyfully; happily; lightheartedly; excitedly; eagerly
あやふや	アヤフヤ	uncertain; indefinite; vague; ambiguous; equivocal; dubious; doubtful; non-committal
Tシャツ	ティーシャツ	T-shirt; tee shirt
明白	メイハク	obvious; clear; plain; evident; apparent; explicit; overt
いらっしゃる	イラッシャイ	come; go; stay|welcome
あっさり	アッサリ	easily; readily; quickly; flatly (refuse)|lightly (seasoned food, applied make-up, etc.); plainly; simply
うっかり	ウッカリ	carelessly; thoughtlessly; inadvertently
うろうろ	ウロウロ	restlessly; aimlessly; without purpose|to loiter; to drift; to hang about doing nothing; to wander aimlessly; to be restless|to be restless; to fuss; to be in a fidget
あべこべ	アベコベ	contrary; opposite; inverse; reverse; back-to-front
うとうと	ウトウト	falling into a doze; dozing off; nodding off
うんこ	ウンコ	poop; poo; faeces; feces|crap; trash; garbage
ええ	エエ	yes; that is correct; right|um; errr; well|huh?|grrr; gah; must I?|good
うん	ウン	yes; yeah; uh huh|hum; hmmm; well; erm; huh?|oof
おっぱい	オッパイ	boobs; boobies; breasts; tits|breast milk
うんざり	ウンザリ	tedious; boring; being fed up with
御握り	オニギリ	onigiri; rice ball (often triangular, sometimes with a filling and wrapped in nori)
おろおろ	オロオロ	in confusion; in a fluster; in bewilderment; in a dither; in a panic; all shook up; helplessly|sobbing; tearfully; trembling (voice)
おどおど	オドオド	timidly; nervously; hesitantly; trembling (with fear); fearfully; anxiously
御菓子	オカシ	confections; sweets; candy; cake
おい	オイ	hey!; say!; I say!; come on!; look!; oi!|I; me
えーと	エット	let me see; well; errr ...; uhh ...
御客様	オキャクサマ	guest; visitor|customer; client; shopper; spectator; audience; tourist; sightseer; passenger
お化け	オバケ	ghost; apparition|goblin; monster; demon|something unusually large
おしっこ	オシッコ	wee-wee; pee-pee; number one
おなら	オナラ	wind; gas; fart
おや	オヤ	oh!; oh?; my!
うんち	ウンチ	poo; poop; doo-doo; caca; whoopsie
