term	reading	frequency	kana_frequency
の	の	1	
は	は	2	
に	に	3	
を	を	4	
と	と	5	
も	も	6	
が	が	7	
で	で	8	
から	から	9	
だ	だ	10	
する	する	11	
か	か	12	
よ	よ	13	
ある	ある	14	
こと	こと	15	
なる	なる	16	
それ	それ	17	
いる	いる	18	
ね	ね	19	
思う	おもう	20	9493
この	この	21	
には	には	22	
でも	でも	23	
です	です	24	
その	その	25	
な	な	26	
言う	いう	27	86
って	って	28	
ない	ない	29	
んだ	んだ	30	
そう	そう	31	
私	わたし	32	1308
いい	いい	33	
これ	これ	34	
だった	だった	35	
見る	みる	36	110
だけ	だけ	37	
くる	くる	38	
さん	さん	39	
くれる	くれる	40	
やる	やる	41	
まで	まで	42	
もの	もの	43	
行く	いく	44	65
という	という	45	
もう	もう	46	
だから	だから	47	
そんな	そんな	48	
あの	あの	49	
だろう	だろう	50	
しまう	しまう	52	
来る	くる	53	38
ん	ん	54	
人	ひと	55	1876
ここ	ここ	56	
や	や	57	
し	し	58	
お	お	59	
とする	とする	60	
自分	じぶん	61	21298
じゃない	じゃない	62	
知る	しる	63	5092
なら	なら	64	
いく	いく	65	
わ	わ	66	
今	いま	67	1481
聞く	きく	68	2585
へ	へ	69	
ような	ような	70	
とは	とは	71	
何	なに	72	493
前	まえ	73	3288
出る	でる	74	1230
中	なか	75	1903
にも	にも	76	
ように	ように	77	
顔	かお	78	21491
である	である	79	
んです	んです	80	
また	また	81	
ながら	ながら	82	
なんて	なんて	83	
考える	かんがえる	84	34291
どう	どう	85	
いう	いう	86	
さ	さ	87	
そして	そして	88	
ため	ため	89	
まだ	まだ	90	
いや	いや	91	
ちょっと	ちょっと	92	
のに	のに	93	
できる	できる	94	
話	はなし	95	22696
とか	とか	96	
ぞ	ぞ	97	
そこ	そこ	98	
なの	なの	99	
ではない	ではない	100	
何	なん	101	151
待つ	まつ	102	3798
ので	ので	103	
ところ	ところ	104	
だって	だって	105	
だが	だが	106	
たち	たち	107	
こんな	こんな	108	
持つ	もつ	109	962
みる	みる	110	
声	こえ	111	27385
もらう	もらう	112	
入る	はいる	113	3389
手	て	114	
ですか	ですか	115	
見える	みえる	116	5999
方	ほう	117	530
目	め	118	
男	おとこ	119	31384
本当	ほんとう	120	6799
あなた	あなた	121	
今日	きょう	122	6099
ほど	ほど	123	
言葉	ことば	124	9678
らしい	らしい	125	
として	として	126	
など	など	127	
ただ	ただ	128	
しかし	しかし	129	
かな	かな	130	
違う	ちがう	131	3489
使う	つかう	132	7296
少し	すこし	133	5486
より	より	134	
時	とき	135	215
家	いえ	136	108601
あれ	あれ	137	
彼	かれ	138	8692
よい	よい	139	
人間	にんげん	140	37285
同じ	おなじ	141	12892
上	うえ	142	2329
よく	よく	143	
よう	よう	144	
とも	とも	145	
でしょう	でしょう	146	
出す	だす	147	961
どこ	どこ	148	
しか	しか	149	
悪い	わるい	150	8995
なん	なん	151	
時間	じかん	152	58496
部屋	へや	153	25995
わけ	わけ	154	
おく	おく	155	
かもしれない	かもしれない	156	
作る	つくる	157	2146
まま	まま	158	
て	て	159	
早い	はやい	160	5680
感じる	かんじる	161	51789
呼ぶ	よぶ	162	9886
話す	はなす	163	13581
何か	なにか	164	12785
のように	のように	165	
死ぬ	しぬ	166	30688
姿	すがた	167	15299
頭	あたま	168	15990
強い	つよい	169	13084
こう	こう	170	
いつも	いつも	171	
会う	あう	172	7503
ばかり	ばかり	173	
一緒に	いっしょに	174	4489
好き	すき	175	12502
相手	あいて	176	46490
帰る	かえる	177	
みんな	みんな	178	
音	おと	179	22799
うち	うち	180	
ずっと	ずっと	181	
のです	のです	182	
でした	でした	183	
食べる	たべる	184	13390
場所	ばしょ	185	56485
あと	あと	186	
どうして	どうして	187	
もっと	もっと	188	
くらい	くらい	189	
世界	せかい	190	39188
あげる	あげる	191	
戻る	もどる	192	8882
力	ちから	193	23487
仕事	しごと	194	31991
必要	ひつよう	195	63787
続ける	つづける	196	4298
つもり	つもり	197	
どんな	どんな	198	
誰	だれ	199	4887
による	による	200	
次	つぎ	201	13182
かける	かける	202	
見せる	みせる	203	860
動く	うごく	204	18386
となる	となる	205	
はず	はず	206	
子	こ	207	
歩く	あるく	208	20000
こちら	こちら	209	
きっと	きっと	210	
意味	いみ	211	37890
終わる	おわる	212	16189
変わる	かわる	213	7698
すぐに	すぐに	214	
とき	とき	215	
気持ち	きもち	216	19095
始める	はじめる	217	1807
大きい	おおきい	218	28070
ことになる	ことになる	219	
向かう	むかう	220	10093
何も	なにも	221	8984
受ける	うける	222	6484
日	ひ	223	
年	ねん	224	26702
心配	しんぱい	225	45798
教える	おしえる	226	26299
心	こころ	227	12690
立つ	たつ	228	14801
おる	おる	229	
やめる	やめる	230	
外	そと	231	17888
間	あいだ	232	8400
について	について	233	
よりも	よりも	234	
後	あと	235	186
様子	ようす	236	13598
忘れる	わすれる	237	18580
口	くち	238	9993
にとって	にとって	239	
名前	なまえ	240	43384
大きな	おおきな	241	34200
信じる	しんじる	242	46282
すぎる	すぎる	243	
なのに	なのに	244	
生きる	いきる	245	23587
問題	もんだい	246	45785
理由	りゆう	247	57387
それでも	それでも	248	
これから	これから	249	
以上	いじょう	250	45289
逃げる	にげる	251	19998
多い	おおい	252	25391
そういう	そういう	253	
絶対	ぜったい	254	11387
開く	ひらく	255	9293
今度	こんど	256	9189
最後	さいご	257	29198
最初	さいしょ	258	38696
こそ	こそ	259	
存在	そんざい	260	93161
誰か	だれか	261	8899
初めて	はじめて	262	3700
書く	かく	263	
取る	とる	264	431
高い	たかい	265	26484
もちろん	もちろん	266	
かも	かも	267	
べき	べき	268	
入れる	いれる	269	40500
体	からだ	270	5485
答える	こたえる	271	9497
そのまま	そのまま	272	
置く	おく	273	155
覚える	おぼえる	274	10692
あり	あり	275	
無理	むり	276	14486
ご	ご	277	
残る	のこる	278	17588
いけない	いけない	279	
長い	ながい	280	14193
普通	ふつう	281	9290
どういう	どういう	282	
守る	まもる	283	18589
とても	とても	284	
楽しい	たのしい	285	18989
どこか	どこか	286	
夜	よる	287	53101
感じ	かんじ	288	26190
気	き	289	
許す	ゆるす	290	10595
もし	もし	291	
驚く	おどろく	292	12691
別に	べつに	293	5190
離れる	はなれる	294	7088
いつ	いつ	295	
消える	きえる	296	29799
助ける	たすける	297	15297
止める	とめる	298	5587
困る	こまる	299	16496
かかる	かかる	300	
人	にん	302	60392
中	ちゅう	303	9580
方	かた	304	4189
飲む	のむ	305	7182
走る	はしる	306	30191
以外	いがい	307	54496
下	した	308	119792
買う	かう	309	4585
足	あし	310	11089
説明	せつめい	311	88517
読む	よむ	312	19896
女性	じょせい	313	
落ちる	おちる	314	11495
このまま	このまま	315	
つける	つける	316	
起きる	おきる	317	13200
あまり	あまり	318	
ことができる	ことができる	319	
続く	つづく	320	8492
すぐ	すぐ	321	
決める	きめる	322	12398
でもない	でもない	323	
状況	じょうきょう	324	117664
関係	かんけい	325	70793
ことがある	ことがある	326	
いただく	いただく	327	
先	さき	328	17995
伝える	つたえる	329	30594
ようになる	ようになる	330	
先に	さきに	331	16892
夢	ゆめ	332	23097
誰も	だれも	333	9500
小さい	ちいさい	334	25697
選ぶ	えらぶ	335	25282
こういう	こういう	336	
理解	りかい	337	142053
ですが	ですが	338	
場合	ばあい	339	40194
得る	える	340	1034
深い	ふかい	341	20798
見つける	みつける	342	13592
一度	いちど	343	22499
ほしい	ほしい	344	
なぜ	なぜ	345	
昔	むかし	346	13892
水	みず	347	21694
近く	ちかく	348	39380
進む	すすむ	349	14787
大変	たいへん	350	6585
としても	としても	351	
道	みち	352	17597
簡単	かんたん	353	24488
変える	かえる	354	6983
別	べつ	355	47900
なので	なので	356	
本	ほん	357	9989
完全	かんぜん	358	78501
状態	じょうたい	359	95343
しっかり	しっかり	360	
行う	おこなう	361	11993
送る	おくる	362	5987
形	かたち	363	9188
上げる	あげる	364	191
近づく	ちかづく	365	49797
乗る	のる	366	5088
与える	あたえる	367	18398
勝手	かって	368	26900
的	てき	369	43698
結果	けっか	370	63199
ために	ために	371	
朝	あさ	372	7978
新しい	あたらしい	373	32084
