term	reading	rank	meaning
の	ノ	1	indicates possessive
は	ハ	2	indicates sentence topic
に	ニ	3	at; in; on
を	ヲ	4	indicates direct object of action
と	ト	5	if; when
も	モ	6	too; also; in addition; as well; (not) either (in a negative sentence)
が	ガ	7	but; however; (and) yet; though; although; while
で	デ	8	so; therefore; (and) then; accordingly
から	カラ	9	because; as; since; so; therefore
だ	ダ	10	be; is
する	スル	11	to do; to carry out; to perform
か	カ	12	indicates a question
よ	ヨ	13	hey; you
ある	アル	14	to be; to exist; to live
こと	コト	15	koto (13-stringed Japanese zither)
なる	ナル	16	to become; to get; to grow; to turn; to reach; to attain
それ	ソレ	17	that; it
いる	イル	18	to shoot (arrow, bolt, dart)
ね	ネ	19	right?; isn't it?; doesn't it?; don't you?; don't you think?
思う	オモウ	20	to think; to consider; to believe; to reckon
この	コノ	21	this
には	ニハ	22	to; for; on; in; at
でも	デモ	23	but; however; though; nevertheless; still; yet; even so; also; as well
です	デス	24	be; is
その	ソノ	25	that; the
な	ナ	26	
言う	イウ	27	to say; to utter; to declare
って	ッテ	28	you said; he said; she said; they said
ない	ナイ	29	nonexistent; not being (there)
んだ	ンダ	30	the expectation is that ...; the reason is that ...; the fact is that ...; the explanation is that ...; it is that ...
そう	ソウ	31	in that way; thus; such
私	ワタシ	32	I; me
いい	イイ	33	good; excellent; fine; nice; pleasant; agreeable
これ	コレ	34	this; this one
だった	ダッタ	35	was; were
見る	ミル	36	to see; to look; to watch; to view; to observe
だけ	ダケ	37	only; just; merely; simply; no more than; nothing but; alone
くる	クル	38	to reel; to wind; to spin (thread)
さん	サン	39	
くれる	クレル	40	to give; to let (one) have
やる	ヤル	41	to do; to undertake; to perform; to play (a game); to study
まで	マデ	42	until (a time); till; to; up to
もの	モノ	43	person
行く	イク	44	to go; to move (towards); to head (towards); to leave (for)
という	トイウ	45	called; named; that says; that
もう	モウ	46	already; yet; by now; now; (not) any more; (not) any longer
だから	ダカラ	47	so; therefore; accordingly; consequently; on those grounds; that is why; for that reason
そんな	ソンナ	48	such; that sort of; that kind of; like that
あの	アノ	49	that; those; the
だろう	ダロウ	50	seems; I think; I guess; I wonder; I hope
しまう	シマウ	52	to finish; to stop; to end; to put an end to; to bring to a close
来る	クル	53	to come (spatially or temporally); to approach; to arrive
ん	ン	54	
人	ヒト	55	person; someone; somebody
ここ	ココ	56	here; this place
や	ヤ	57	disliking; not wanting; unwilling (to do); reluctant
し	シ	58	
お	オ	59	
とする	トスル	60	to try to ...; to be about to do ...
自分	ジブン	61	myself; yourself; oneself; himself; herself
じゃない	ジャナイ	62	is not; am not; are not
知る	シル	63	to know; to be aware (of); to be conscious (of); to learn (of); to find out; to discover
なら	ナラ	64	if; in case; if it is the case that; if it is true that
いく	イク	65	to go; to move (towards); to head (towards); to leave (for)
わ	ワ	66	indicates emotion or admiration
今	イマ	67	now; the present time; just now; soon; immediately
聞く	キク	68	to hear
へ	ヘ	69	to; towards; for
ような	ヨウナ	70	
とは	トハ	71	indicates word or phrase being defined
何	ナニ	72	what
前	マエ	73	in front (of); before (e.g. a building)
出る	デル	74	to leave; to exit; to go out; to come out; to get out
中	ナカ	75	inside; interior
にも	ニモ	76	also; too; not ... either; as well; even
ように	ヨウニ	77	like; as
顔	カオ	78	face; visage; looks; (facial) features
である	デアル	79	be; is
んです	ンデス	80	the expectation is that ...; the reason is that ...; the fact is that ...; the explanation is that ...; it is that ...
また	マタ	81	and; in addition; besides; moreover; furthermore
ながら	ナガラ	82	while; during; as
なんて	ナンテ	83	things like; something like; someone like; such a thing as; (the fact) that; to think that
考える	カンガエル	84	to think (about, of); to think over; to ponder; to contemplate; to reflect (on); to meditate (on)
どう	ドウ	85	how; in what way; how about
いう	イウ	86	to do up (hair); to dress; to arrange
さ	サ	87	indicates assertion
そして	ソシテ	88	and; and then; thus; and now; and finally
ため	タメ	89	good; advantage; benefit; welfare
まだ	マダ	90	still; as yet; only
いや	イヤ	91	no!; quit it!; stop!
ちょっと	チョット	92	a little; a bit; slightly
のに	ノニ	93	although; despite; even though; and yet
できる	デキル	94	to be able to do; to be possible; to be permitted (to do)
話	ハナシ	95	talk; speech; chat; conversation
とか	トカ	96	and the like; such as; among other things; and so on
ぞ	ゾ	97	adds force or indicates command
そこ	ソコ	98	there (place relatively near listener)
なの	ナノ	99	
ではない	デハナイ	100	is not; am not; are not
何	ナン	101	what
待つ	マツ	102	to wait
ので	ノデ	103	because; as; since; so; therefore
ところ	トコロ	104	place; spot; scene; site
だって	ダッテ	105	after all; because
だが	ダガ	106	but; however; (and) yet; nevertheless; still; for all that
たち	タチ	107	long sword (as opposed to the shorter katana)
こんな	コンナ	108	this sort of; this kind of; like this; such
持つ	モツ	109	to hold (in one's hand); to take; to carry
みる	ミル	110	to look after (often medically); to take care of
声	コエ	111	voice
もらう	モラウ	112	to receive; to take; to accept
入る	ハイル	113	to enter; to come in; to go in; to get in; to arrive
手	テ	114	hand; arm
ですか	デスカ	115	indicates question
見える	ミエル	116	to be seen; to be visible; to be in sight
方	ホウ	117	direction; way; side; area (in a particular direction)
目	メ	118	eye; eyeball
男	オトコ	119	man; male
本当	ホントウ	120	truth; reality; actuality; fact
あなた	アナタ	121	you
今日	キョウ	122	today; this day
ほど	ホド	123	extent; degree; measure
言葉	コトバ	124	language; dialect
らしい	ラシイ	125	seeming ...; appearing ...
として	トシテ	126	as (i.e. in the role of); for (i.e. from the viewpoint of)
など	ナド	127	et cetera; etc.; and the like; and so forth
ただ	タダ	128	ordinary; common; usual
しかし	シカシ	129	however; but
かな	カナ	130	I wonder
違う	チガウ	131	to differ (from); to be different; to be distinct; to be unlike; to vary; to disagree (with)
使う	ツカウ	132	to use (a tool, method, etc.); to make use of; to put to use
少し	スコシ	133	a little; a bit; a small amount; a few; some; slightly; somewhat
より	ヨリ	134	than
時	トキ	135	time; hour; moment
家	イエ	136	house; residence; dwelling; home
あれ	アレ	137	that; that thing
彼	カレ	138	he; him
よい	ヨイ	139	good; excellent; fine; nice; pleasant; agreeable
人間	ニンゲン	140	human being; human; person; man; mankind; humankind
同じ	オナジ	141	same; identical; equal; alike; equivalent
上	ウエ	142	above; over; up
よく	ヨク	143	nicely; properly; well; skillfully; skilfully
よう	ヨウ	144	
とも	トモ	145	companion; follower; attendant; retinue
でしょう	デショウ	146	it seems; I think; I guess; I wonder
出す	ダス	147	to take out; to get out
どこ	ドコ	148	where; what place
しか	シカ	149	nothing but; except; no more than
悪い	ワルイ	150	bad; poor; undesirable
なん	ナン	151	what
時間	ジカン	152	time
部屋	ヘヤ	153	room; chamber
わけ	ワケ	154	division; splitting; classification
おく	オク	155	to put; to place
かもしれない	カモシレナイ	156	may; might; perhaps; may be; possibly
作る	ツクル	157	to make; to produce; to manufacture; to build; to construct
まま	ママ	158	as (it is); remaining (in a state); keeping (the same); leaving (unchanged)
て	テ	159	
早い	ハヤイ	160	fast; quick; rapid; swift; speedy; brisk; prompt
感じる	カンジル	161	to feel; to sense; to experience
呼ぶ	ヨブ	162	to call out (to); to call; to invoke
話す	ハナス	163	to talk; to speak; to converse; to chat
何か	ナニカ	164	something; some; any
のように	ノヨウニ	165	
死ぬ	シヌ	166	to die; to pass away
姿	スガタ	167	figure; form; shape
頭	アタマ	168	head
強い	ツヨイ	169	strong; potent; competent; domineering; tough
こう	コウ	170	in this way; like this; so; thus
いつも	イツモ	171	always; all the time; at all times
会う	アウ	172	to meet; to encounter; to see
ばかり	バカリ	173	only; merely; nothing but; no more than
一緒に	イッショニ	174	together (with)
好き	スキ	175	liking; being fond of; to one's liking; to one's taste; preferred; favourite
相手	アイテ	176	companion; partner; company
帰る	カエル	177	to return; to come home; to go home; to go back
みんな	ミンナ	178	everyone; everybody; all
音	オト	179	sound; noise
うち	ウチ	180	one's house; one's home; one's family; one's household
ずっと	ズット	181	continuously; the whole time; all the way; throughout
のです	ノデス	182	the expectation is that ...; the reason is that ...; the fact is that ...; the explanation is that ...; it is that ...
でした	デシタ	183	
食べる	タベル	184	to eat
場所	バショ	185	place; location; spot; position; area
あと	アト	186	behind; rear
どうして	ドウシテ	187	how; in what way; by what means
もっと	モット	188	(some) more; even more; longer; further
くらい	クライ	189	approximately; about; around; or so
世界	セカイ	190	the world; society; the universe
あげる	アゲル	191	to raise; to elevate
戻る	モドル	192	to turn back (e.g. half-way)
力	チカラ	193	force; strength; might; vigour; vigor; energy
仕事	シゴト	194	work; job; labor; labour; business; task; assignment; occupation; employment
必要	ヒツヨウ	195	necessary; needed; essential; indispensable
続ける	ツヅケル	196	to continue; to keep up; to keep on
つもり	ツモリ	197	intention; plan; purpose; expectation
どんな	ドンナ	198	what kind of; what sort of; what
誰	ダレ	199	who
による	ニヨル	200	by means of; due to; because of; according to
次	ツギ	201	next; following; subsequent
かける	カケル	202	
