term	reading	rank	part_of_speech
の	ノ	1	助詞,格助詞,*,*,*,*
は	ハ	2	助詞,係助詞,*,*,*,*
に	ニ	3	助詞,格助詞,*,*,*,*
を	ヲ	4	助詞,格助詞,*,*,*,*
と	ト	5	助詞,格助詞,*,*,*,*
も	モ	6	助詞,係助詞,*,*,*,*
が	ガ	7	接続詞,*,*,*,*,*
で	デ	8	接続詞,*,*,*,*,*
から	カラ	9	接続詞,*,*,*,*,*
だ	ダ	10	助動詞,*,*,*,助動詞-ダ,終止形-一般
する	スル	11	動詞,非自立可能,*,*,サ行変格,終止形-一般
か	カ	12	助詞,終助詞,*,*,*,*
よ	ヨ	13	助詞,終助詞,*,*,*,*
ある	アル	14	動詞,非自立可能,*,*,五段-ラ行,終止形-一般
こと	コト	15	名詞,普通名詞,一般,*,*,*
なる	ナル	16	動詞,非自立可能,*,*,五段-ラ行,終止形-一般
それ	ソレ	17	代名詞,*,*,*,*,*
いる	イル	18	動詞,非自立可能,*,*,上一段-ア行,終止形-一般
ね	ネ	19	助詞,終助詞,*,*,*,*
思う	オモウ	20	動詞,一般,*,*,五段-ワア行,終止形-一般
この	コノ	21	連体詞,*,*,*,*,*
には	ニハ	22	助詞+助詞
でも	デモ	23	助詞+助詞
です	デス	24	助動詞,*,*,*,助動詞-デス,終止形-一般
その	ソノ	25	連体詞,*,*,*,*,*
な	ナ	26	助動詞,*,*,*,助動詞-ダ,連体形-一般
言う	イウ	27	動詞,一般,*,*,五段-ワア行,終止形-一般
って	ッテ	28	助詞,副助詞,*,*,*,*
ない	ナイ	29	形容詞,非自立可能,*,*,形容詞,終止形-一般
んだ	ンダ	30	助詞+助動詞
そう	ソウ	31	副詞,*,*,*,*,*
私	ワタシ	32	代名詞,*,*,*,*,*
いい	イイ	33	形容詞,非自立可能,*,*,形容詞,終止形-一般
これ	コレ	34	代名詞,*,*,*,*,*
だった	ダッタ	35	助動詞+助動詞
見る	ミル	36	動詞,非自立可能,*,*,上一段-マ行,終止形-一般
だけ	ダケ	37	助詞,副助詞,*,*,*,*
くる	クル	38	動詞,非自立可能,*,*,カ行変格,終止形-一般
さん	サン	39	接尾辞,名詞的,一般,*,*,*
くれる	クレル	40	動詞,非自立可能,*,*,下一段-ラ行,終止形-一般
やる	ヤル	41	動詞,非自立可能,*,*,五段-ラ行,終止形-一般
まで	マデ	42	感動詞+接続詞
もの	モノ	43	名詞,普通名詞,サ変可能,*,*,*
行く	イク	44	動詞,非自立可能,*,*,五段-カ行,終止形-一般
という	トイウ	45	助詞+動詞
もう	モウ	46	副詞,*,*,*,*,*
だから	ダカラ	47	助動詞+助詞
そんな	ソンナ	48	形状詞,一般,*,*,*,*
あの	アノ	49	連体詞,*,*,*,*,*
だろう	ダロウ	50	助動詞,*,*,*,助動詞-ダ,意志推量形
しまう	シマウ	52	動詞,非自立可能,*,*,五段-ワア行,終止形-一般
来る	クル	53	動詞,非自立可能,*,*,カ行変格,終止形-一般
ん	ン	54	感動詞,一般,*,*,*,*
人	ヒト	55	名詞,普通名詞,一般,*,*,*
ここ	ココ	56	代名詞,*,*,*,*,*
や	ヤ	57	形状詞,一般,*,*,*,*
し	シ	58	助動詞,*,*,*,文語助動詞-キ,連体形-一般
お	オ	59	接頭辞,*,*,*,*,*
とする	トスル	60	助詞+動詞
自分	ジブン	61	名詞,普通名詞,一般,*,*,*
じゃない	ジャナイ	62	助動詞+形容詞
知る	シル	63	動詞,一般,*,*,五段-ラ行,終止形-一般
なら	ナラ	64	助動詞,*,*,*,助動詞-ダ,仮定形-一般
いく	イク	65	動詞,非自立可能,*,*,五段-カ行,終止形-一般
わ	ワ	66	助詞,終助詞,*,*,*,*
今	イマ	67	名詞,普通名詞,副詞可能,*,*,*
聞く	キク	68	動詞,一般,*,*,五段-カ行,終止形-一般
へ	ヘ	69	助詞,格助詞,*,*,*,*
ような	ヨウナ	70	形状詞+助動詞
とは	トハ	71	助詞+助詞
何	ナニ	72	代名詞,*,*,*,*,*
前	マエ	73	名詞,普通名詞,副詞可能,*,*,*
出る	デル	74	動詞,一般,*,*,下一段-ダ行,終止形-一般
中	ナカ	75	名詞,普通名詞,副詞可能,*,*,*
にも	ニモ	76	助詞+助詞
ように	ヨウニ	77	形状詞+助動詞
顔	カオ	78	名詞,普通名詞,一般,*,*,*
である	デアル	79	接続詞+連体詞
んです	ンデス	80	助詞+助動詞
また	マタ	81	接続詞,*,*,*,*,*
ながら	ナガラ	82	助詞,接続助詞,*,*,*,*
なんて	ナンテ	83	助詞,副助詞,*,*,*,*
考える	カンガエル	84	動詞,一般,*,*,下一段-ア行,終止形-一般
どう	ドウ	85	副詞,*,*,*,*,*
いう	イウ	86	動詞,一般,*,*,五段-ワア行,終止形-一般
さ	サ	87	助詞,終助詞,*,*,*,*
そして	ソシテ	88	接続詞,*,*,*,*,*
ため	タメ	89	名詞,普通名詞,副詞可能,*,*,*
まだ	マダ	90	副詞,*,*,*,*,*
いや	イヤ	91	感動詞,一般,*,*,*,*
ちょっと	チョット	92	副詞,*,*,*,*,*
のに	ノニ	93	助詞+助詞
できる	デキル	94	動詞,非自立可能,*,*,上一段-カ行,終止形-一般
話	ハナシ	95	名詞,普通名詞,サ変可能,*,*,*
とか	トカ	96	助詞+助詞
ぞ	ゾ	97	助詞,終助詞,*,*,*,*
そこ	ソコ	98	代名詞,*,*,*,*,*
なの	ナノ	99	助動詞+助詞
ではない	デハナイ	100	助詞+助詞+形容詞
何	ナン	101	代名詞,*,*,*,*,*
待つ	マツ	102	動詞,一般,*,*,五段-タ行,終止形-一般
ので	ノデ	103	助詞+助動詞
ところ	トコロ	104	名詞,普通名詞,副詞可能,*,*,*
だって	ダッテ	105	助動詞+助詞
だが	ダガ	106	助動詞+助詞
たち	タチ	107	名詞,普通名詞,一般,*,*,*
こんな	コンナ	108	形状詞,一般,*,*,*,*
持つ	モツ	109	動詞,一般,*,*,五段-タ行,終止形-一般
みる	ミル	110	動詞,非自立可能,*,*,上一段-マ行,終止形-一般
声	コエ	111	名詞,普通名詞,一般,*,*,*
もらう	モラウ	112	動詞,非自立可能,*,*,五段-ワア行,終止形-一般
入る	ハイル	113	動詞,一般,*,*,五段-ラ行,終止形-一般
手	テ	114	名詞,普通名詞,助数詞可能,*,*,*
ですか	デスカ	115	助動詞+助詞
見える	ミエル	116	動詞,一般,*,*,下一段-ア行,終止形-一般
方	ホウ	117	名詞,普通名詞,一般,*,*,*
目	メ	118	名詞,普通名詞,一般,*,*,*
男	オトコ	119	名詞,普通名詞,一般,*,*,*
本当	ホントウ	120	名詞,普通名詞,一般,*,*,*
あなた	アナタ	121	代名詞,*,*,*,*,*
今日	キョウ	122	名詞,普通名詞,副詞可能,*,*,*
ほど	ホド	123	助詞,副助詞,*,*,*,*
言葉	コトバ	124	名詞,普通名詞,一般,*,*,*
らしい	ラシイ	125	助動詞,*,*,*,助動詞-ラシイ,終止形-一般
として	トシテ	126	助詞+動詞+助詞
など	ナド	127	助詞,副助詞,*,*,*,*
ただ	タダ	128	接続詞,*,*,*,*,*
しかし	シカシ	129	接続詞,*,*,*,*,*
かな	カナ	130	助詞+助詞
違う	チガウ	131	動詞,一般,*,*,五段-ワア行,終止形-一般
使う	ツカウ	132	動詞,一般,*,*,五段-ワア行,終止形-一般
少し	スコシ	133	副詞,*,*,*,*,*
より	ヨリ	134	副詞,*,*,*,*,*
時	トキ	135	名詞,普通名詞,副詞可能,*,*,*
家	イエ	136	名詞,普通名詞,一般,*,*,*
あれ	アレ	137	代名詞,*,*,*,*,*
彼	カレ	138	代名詞,*,*,*,*,*
よい	ヨイ	139	形容詞,非自立可能,*,*,形容詞,終止形-一般
人間	ニンゲン	140	名詞,普通名詞,一般,*,*,*
同じ	オナジ	141	形状詞,一般,*,*,*,*
上	ウエ	142	名詞,普通名詞,副詞可能,*,*,*
よく	ヨク	143	副詞,*,*,*,*,*
よう	ヨウ	144	副詞,*,*,*,*,*
とも	トモ	145	名詞,普通名詞,一般,*,*,*
でしょう	デショウ	146	助動詞,*,*,*,助動詞-デス,意志推量形
出す	ダス	147	動詞,非自立可能,*,*,五段-サ行,終止形-一般
どこ	ドコ	148	代名詞,*,*,*,*,*
