term	reading	rank	normalized_form
の	ノ	1	の
は	ハ	2	は
に	ニ	3	に
を	ヲ	4	を
と	ト	5	と
も	モ	6	も
が	ガ	7	が
で	デ	8	で
から	カラ	9	から
だ	ダ	10	だ
する	スル	11	為る
か	カ	12	か
よ	ヨ	13	よ
ある	アル	14	有る
こと	コト	15	こと
なる	ナル	16	成る
それ	ソレ	17	其れ
いる	イル	18	居る
ね	ネ	19	ね
思う	オモウ	20	思う
この	コノ	21	此の
には	ニハ	22	には
でも	デモ	23	でも
です	デス	24	です
その	ソノ	25	其の
な	ナ	26	だ
言う	イウ	27	言う
って	ッテ	28	って
ない	ナイ	29	無い
んだ	ンダ	30	んだ
そう	ソウ	31	そう
私	ワタシ	32	私
いい	イイ	33	良い
これ	コレ	34	此れ
だった	ダッタ	35	だった
見る	ミル	36	見る
だけ	ダケ	37	だけ
くる	クル	38	来る
さん	サン	39	さん
くれる	クレル	40	呉れる
やる	ヤル	41	遣る
まで	マデ	42	まで
もの	モノ	43	物
行く	イク	44	行く
という	トイウ	45	という
もう	モウ	46	もう
だから	ダカラ	47	だから
そんな	ソンナ	48	そんな
あの	アノ	49	あの
だろう	ダロウ	50	だ
しまう	シマウ	52	仕舞う
来る	クル	53	来る
ん	ン	54	んっ
人	ヒト	55	人
ここ	ココ	56	此処
や	ヤ	57	や
し	シ	58	き
お	オ	59	御
とする	トスル	60	とする
自分	ジブン	61	自分
じゃない	ジャナイ	62	じゃない
知る	シル	63	知る
なら	ナラ	64	だ
いく	イク	65	行く
わ	ワ	66	わ
今	イマ	67	今
聞く	キク	68	聞く
へ	ヘ	69	へ
ような	ヨウナ	70	ような
とは	トハ	71	とは
何	ナニ	72	何
前	マエ	73	前
出る	デル	74	出る
中	ナカ	75	中
にも	ニモ	76	にも
ように	ヨウニ	77	ように
顔	カオ	78	顔
である	デアル	79	である
んです	ンデス	80	んです
また	マタ	81	又
ながら	ナガラ	82	ながら
なんて	ナンテ	83	なんて
考える	カンガエル	84	考える
どう	ドウ	85	どう
いう	イウ	86	言う
さ	サ	87	さ
そして	ソシテ	88	そして
ため	タメ	89	為
まだ	マダ	90	未だ
いや	イヤ	91	否
ちょっと	チョット	92	一寸
のに	ノニ	93	のに
できる	デキル	94	出来る
話	ハナシ	95	話
とか	トカ	96	とか
ぞ	ゾ	97	ぞ
そこ	ソコ	98	そこ
なの	ナノ	99	なの
ではない	デハナイ	100	ではない
何	ナン	101	何
待つ	マツ	102	待つ
ので	ノデ	103	ので
ところ	トコロ	104	所
だって	ダッテ	105	だって
だが	ダガ	106	だが
たち	タチ	107	たち
こんな	コンナ	108	こんな
持つ	モツ	109	持つ
みる	ミル	110	見る
声	コエ	111	声
もらう	モラウ	112	貰う
入る	ハイル	113	入る
手	テ	114	手
ですか	デスカ	115	ですか
見える	ミエル	116	見える
方	ホウ	117	方
目	メ	118	目
男	オトコ	119	男
本当	ホントウ	120	本当
あなた	アナタ	121	貴方
今日	キョウ	122	今日
ほど	ホド	123	ほど
言葉	コトバ	124	言葉
らしい	ラシイ	125	らしい
として	トシテ	126	として
など	ナド	127	など
ただ	タダ	128	唯
しかし	シカシ	129	然し
かな	カナ	130	かな
違う	チガウ	131	違う
使う	ツカウ	132	使う
少し	スコシ	133	少し
より	ヨリ	134	より
時	トキ	135	時
家	イエ	136	家
あれ	アレ	137	彼れ
彼	カレ	138	彼
よい	ヨイ	139	良い
人間	ニンゲン	140	人間
同じ	オナジ	141	同じ
上	ウエ	142	上
よく	ヨク	143	良く
よう	ヨウ	144	よう
とも	トモ	145	とも
でしょう	デショウ	146	です
出す	ダス	147	出す
どこ	ドコ	148	どこ
しか	シカ	149	しか
悪い	ワルイ	150	悪い
なん	ナン	151	何
時間	ジカン	152	時間
部屋	ヘヤ	153	部屋
わけ	ワケ	154	訳
おく	オク	155	おく
かもしれない	カモシレナイ	156	かもしれない
作る	ツクル	157	作る
まま	ママ	158	侭
て	テ	159	で
早い	ハヤイ	160	早い
感じる	カンジル	161	感じる
呼ぶ	ヨブ	162	呼ぶ
話す	ハナス	163	話す
何か	ナニカ	164	何か
のように	ノヨウニ	165	のように
死ぬ	シヌ	166	死ぬ
姿	スガタ	167	姿
頭	アタマ	168	頭
強い	ツヨイ	169	強い
こう	コウ	170	こう
いつも	イツモ	171	いつも
会う	アウ	172	会う
ばかり	バカリ	173	ばかり
一緒に	イッショニ	174	一緒に
好き	スキ	175	好き
相手	アイテ	176	相手
帰る	カエル	177	帰る
みんな	ミンナ	178	皆
音	オト	179	音
うち	ウチ	180	うち
ずっと	ズット	181	ずっと
のです	ノデス	182	のです
でした	デシタ	183	でした
食べる	タベル	184	食べる
場所	バショ	185	場所
あと	アト	186	後
どうして	ドウシテ	187	どうして
もっと	モット	188	もっと
くらい	クライ	189	くらい
世界	セカイ	190	世界
あげる	アゲル	191	上げる
戻る	モドル	192	戻る
力	チカラ	193	力
仕事	シゴト	194	仕事
必要	ヒツヨウ	195	必要
続ける	ツヅケル	196	続ける
つもり	ツモリ	197	積もり
どんな	ドンナ	198	どんな
誰	ダレ	199	誰
による	ニヨル	200	による
次	ツギ	201	次
かける	カケル	202	かける
見せる	ミセル	203	見せる
動く	ウゴク	204	動く
となる	トナル	205	となる
はず	ハズ	206	筈
子	コ	207	子
歩く	アルク	208	歩く
こちら	コチラ	209	此方
きっと	キット	210	きっと
意味	イミ	211	意味
終わる	オワル	212	終わる
変わる	カワル	213	変わる
すぐに	スグニ	214	すぐに
とき	トキ	215	時
気持ち	キモチ	216	気持ち
始める	ハジメル	217	始める
大きい	オオキイ	218	大きい
ことになる	コトニナル	219	ことになる
向かう	ムカウ	220	向かう
何も	ナニモ	221	何も
受ける	ウケル	222	受ける
日	ヒ	223	日
年	ネン	224	年
心配	シンパイ	225	心配
教える	オシエル	226	教える
心	ココロ	227	心
立つ	タツ	228	立つ
おる	オル	229	居る
やめる	ヤメル	230	やめる
外	ソト	231	外
間	アイダ	232	間
について	ニツイテ	233	について
よりも	ヨリモ	234	よりも
後	アト	235	後
様子	ヨウス	236	様子
忘れる	ワスレル	237	忘れる
口	クチ	238	口
にとって	ニトッテ	239	にとって
名前	ナマエ	240	名前
大きな	オオキナ	241	大きな
信じる	シンジル	242	信じる
すぎる	スギル	243	過ぎる
なのに	ナノニ	244	なのに
生きる	イキル	245	生きる
問題	モンダイ	246	問題
理由	リユウ	247	理由
それでも	ソレデモ	248	それでも
これから	コレカラ	249	これから
以上	イジョウ	250	以上
逃げる	ニゲル	251	逃げる
多い	オオイ	252	多い
そういう	ソウイウ	253	そういう
絶対	ゼッタイ	254	絶対
開く	ヒラク	255	開く
今度	コンド	256	今度
最後	サイゴ	257	最後
最初	サイショ	258	最初
こそ	コソ	259	こそ
存在	ソンザイ	260	存在
誰か	ダレカ	261	誰か
初めて	ハジメテ	262	初めて
書く	カク	263	書く
取る	トル	264	取る
高い	タカイ	265	高い
もちろん	モチロン	266	勿論
かも	カモ	267	かも
べき	ベキ	268	べし
入れる	イレル	269	入れる
体	カラダ	270	体
答える	コタエル	271	答える
そのまま	ソノママ	272	そのまま
置く	オク	273	置く
覚える	オボエル	274	覚える
あり	アリ	275	有り
無理	ムリ	276	無理
ご	ゴ	277	五
残る	ノコル	278	残る
いけない	イケナイ	279	いけない
長い	ナガイ	280	長い
普通	フツウ	281	普通
どういう	ドウイウ	282	どういう
守る	マモル	283	守る
とても	トテモ	284	迚も
楽しい	タノシイ	285	楽しい
どこか	ドコカ	286	どこか
夜	ヨル	287	夜
感じ	カンジ	288	感じ
気	キ	289	気
許す	ユルス	290	許す
もし	モシ	291	若し
驚く	オドロク	292	驚く
別に	ベツニ	293	別に
離れる	ハナレル	294	離れる
いつ	イツ	295	いつ
消える	キエル	296	消える
助ける	タスケル	297	助ける
止める	トメル	298	止める
困る	コマル	299	困る
かかる	カカル	300	掛かる
人	ニン	302	人
中	チュウ	303	中
方	カタ	304	方
飲む	ノム	305	飲む
走る	ハシル	306	走る
以外	イガイ	307	以外
下	シタ	308	下
買う	カウ	309	買う
足	アシ	310	足
説明	セツメイ	311	説明
読む	ヨム	312	読む
女性	ジョセイ	313	女性
落ちる	オチル	314	落ちる
このまま	コノママ	315	このまま
つける	ツケル	316	つける
起きる	オキル	317	起きる
あまり	アマリ	318	余り
ことができる	コトガデキル	319	ことができる
続く	ツヅク	320	続く
すぐ	スグ	321	直ぐ
決める	キメル	322	決める
でもない	デモナイ	323	でもない
状況	ジョウキョウ	324	状況
関係	カンケイ	325	関係
ことがある	コトガアル	326	ことがある
いただく	イタダク	327	頂く
先	サキ	328	先
伝える	ツタエル	329	伝える
ようになる	ヨウニナル	330	ようになる
先に	サキニ	331	先に
夢	ユメ	332	夢
誰も	ダレモ	333	誰も
小さい	チイサイ	334	小さい
選ぶ	エラブ	335	選ぶ
こういう	コウイウ	336	こういう
理解	リカイ	337	理解
ですが	デスガ	338	ですが
場合	バアイ	339	場合
得る	エル	340	得る
深い	フカイ	341	深い
見つける	ミツケル	342	見付ける
一度	イチド	343	一度
ほしい	ホシイ	344	欲しい
なぜ	ナゼ	345	何故
昔	ムカシ	346	昔
水	ミズ	347	水
近く	チカク	348	近く
進む	ススム	349	進む
大変	タイヘン	350	大変
としても	トシテモ	351	としても
道	ミチ	352	道
簡単	カンタン	353	簡単
変える	カエル	354	変える
別	ベツ	355	別
なので	ナノデ	356	なので
本	ホン	357	本
完全	カンゼン	358	完全
状態	ジョウタイ	359	状態
しっかり	シッカリ	360	確り
行う	オコナウ	361	行う
送る	オクル	362	送る
形	カタチ	363	形
上げる	アゲル	364	上げる
近づく	チカヅク	365	近付く
乗る	ノル	366	乗る
与える	アタエル	367	与える
勝手	カッテ	368	勝手
的	テキ	369	的
結果	ケッカ	370	結果
ために	タメニ	371	ために
朝	アサ	372	朝
新しい	アタラシイ	373	新しい
急	キュウ	374	急
ようにする	ヨウニスル	375	ようにする
自分で	ジブンデ	376	自分で
元	モト	377	元
最近	サイキン	378	最近
大	ダイ	379	大
決まる	キマル	380	決まる
準備	ジュンビ	381	準備
近い	チカイ	382	近い
失う	ウシナウ	383	失う
不安	フアン	384	不安
残す	ノコス	385	残す
安心	アンシン	386	安心
大事	ダイジ	387	大事
ほとんど	ホトンド	388	殆ど
認める	ミトメル	389	認める
特に	トクニ	390	特に
求める	モトメル	391	求める
用意	ヨウイ	392	用意
少ない	スクナイ	393	少ない
まず	マズ	394	先ず
ことにする	コトニスル	395	ことにする
始まる	ハジマル	396	始まる
家族	カゾク	397	家族
似る	ニル	398	似る
用	ヨウ	399	用
元気	ゲンキ	400	元気
後	ゴ	401	後
に対して	ニタイシテ	402	に対して
生む	ウム	403	生む
思い	オモイ	404	思い
なかなか	ナカナカ	405	中々
たくさん	タクサン	406	沢山
目的	モクテキ	407	目的
合う	アウ	408	合う
生活	セイカツ	409	生活
方法	ホウホウ	410	方法
なくなる	ナクナル	411	なくなる
切る	キル	412	切る
分	ブン	413	分
つく	ツク	414	付く
としては	トシテハ	415	としては
十分	ジュウブン	416	十分
働く	ハタラク	417	働く
若い	ワカイ	418	若い
歳	サイ	419	年
調べる	シラベル	420	調べる
急ぐ	イソグ	421	急ぐ
必ず	カナラズ	422	必ず
かどうか	カドウカ	423	かどうか
途中	トチュウ	424	途中
側	ガワ	425	側
見つかる	ミツカル	426	見付かる
重い	オモイ	427	重い
期待	キタイ	428	期待
集まる	アツマル	429	集まる
その後	ソノアト	430	その後
とる	トル	431	とる
ないと	ナイト	432	ないと
考え	カンガエ	433	考え
住む	スム	434	住む
大切	タイセツ	435	大切
毎日	マイニチ	436	毎日
広い	ヒロイ	437	広い
やすい	ヤスイ	438	易い
自由	ジユウ	439	自由
になると	ニナルト	440	になると
ないか	ナイカ	441	ないか
原因	ゲンイン	442	原因
けど	ケド	443	けれど
俺	オレ	444	俺
ああ	アア	445	ああ
